"Sentiment","Review"
"Negative","Inconsistent quality: The first PMDVR8 I owned worked extremely well for about 2 years. After it began to fail, I purchased 2 more. One of the two never worked consistently and failed completely in about a month. The other failed in about 4 months of light use. Even inexpensive remotes should last longer."
"Positive","Good read: Well I have to say I liked this book really well until the very end. It was a little confusing in the end and I did have to go back and reread it. It was a good book though and I am glad I read it. Not as good as Alice's Tulips but still worth the time."
"Negative","Over Written: I am currently trying, and I mean really trying to read The Risk Pool by Russo but am very bogged down at about one third of the way through the book and I just wish the protagonist would get on with it and grow up - i.e. not in the sense that he is immature but that I wish he wouldgraduate so we can see what happens to him if and when he reaches adulthood - given how over written this book is - I sometimes thinkwe never will. I usually very much like Richard Russo's prose but this novel is an exemption and I mean that in a bad way. On the other hand I just loved Straight Man, A Novel which I also purchased for my Kindle on Amazon.com."
"Negative","Terrible First Episode, Very Good Series: The first episode is stunningly bad, which makes it surprising how the subsequent episodes are uniformly excellent.Episode 2 - ""Roadblock Duty"" - ExcellentDepicts how terrorists are using civilians as human shields, and also hiding terrorists and bombs in vehicle trunks.Episode 3 - ""The Prisoner"" - ExcellentAggressive interrogation techniques, to the early dismay of a wimpy soldier, yield important intelligence that saves US lives.Episode 4 - Didn't see this oneEpisode 5 - ""Embedded"" - ExcellentThis episode dealt with 'jihadists' setting up US troops in a small town, by intentionally using a little boy as bait (making him run at the troops). The 'jihadists' had also pre-positioned cameras, to film the child they had killed, which the willing ""mainstream"" media accomplices replayed over and over, providing a propaganda coup for the terrorists."
"Negative","Don't we have more respect for kids than this?: This is the worst acting in a children's movie that I have EVER seen. Nothing matter with the basic idea of the fanciful plot, but everything about the movie, from special effects to horrible acting, makes it the worst of filmmaking EVER. Skip it."
"Negative","Unreliable: After only a few months use part of the display has stopped working, so I can see only one-half of the hour digit and one-half of the minutes digit - leaving me often guessing as to the exact time"
"Positive","charming book for all ages: I originally bought this book for my granddaughter but was so taken with the charm and love expressed in the paintings that I also got it for myself as well as for other nieces.....this belongs on your keep it forever shelf."
"Positive","Fantastic sound for the price, but ergonomics are lacking.: The iGrado headphones have got to be the best quality sound you can possibly get for the price. I've gone through and listened to most of my music library again just to see how differently they sound through my new headphones. They facilitate incredible clarity and depth I had only previously experienced through studio quality phones. I can turn them up very loud without hurting my ears and without completely blocking out the outside world (which is usually a good thing). The only complaint I have is the plastic its made out of is very stiff, and it squeezes my head a bit too much (As I have a pretty big head) and my ears get a little sore after a while.If you are looking for very high quality headphones for casual use on the cheap, there isn't a better deal out there. But wide-headed people beware! Your ears will begin to complain midway through your average album."
"Negative","OOps I wrote on wrong one: This is the season we have been waiting for for ever. We have to wait until the next season starts and I think that is bogus. It is not in the consumers best interest...get it together you would sell more if they were available sooner."
"Positive","Could not locate these bulbs at local hardware stores.: Have been satisfied with the original MAGLITE flashlights (especially the extra bulb located in the base cap). Found out (trial & error) that not all flashlight bulbs (despite appearance and fit) will work in these high end utility lamps. Letting someone borrow these excellant lites became a chore to have them returned.Haven't purchased the newer version MAGLITE & don't anticipate having to because of quality failure."
"Negative","Ugggh Nicolas another bomb?: Cage -- you either love his movies OR hate them. I hated this. Typical comic book turned into movie. Read the comic and save your money on this one."
"Positive","Finally, more Richard Harris on CD: These albums have always been two of my favorites. I am so happy to see them on CD. I love Richard Harris' voice and the song are wonderful. Now, if we can just get ""I, In the Membership of My Days"" the collection will be complete.Great Music!!!"
"Negative","A Prince DVD WITHOUT 'Purple Rain'?!!!--Unacceptable!: The DVD was okay, but I never would have bought this had I realized that it was missing the video for 'Purple Rain'--possibly Prince's greatest hit of all time!"
"Negative","I am done...: Have been a justified fan since the beginning but I noticed this season the writers going too far. This last episode, ""Guy Walks Into a Bar"" just pushed the line beyond what I want to watch. No thanks to naked child molesters. I enjoyed Rayland's character but enough is enough...cancelled my amazon pre purchase of the whole season."
"Positive","John Taylor Feelings Are Good!: This is fantastic. John shows more of the punk, hard edge side of his music. This is a big departure from Duran Duran....and is sometimes very raw....but all John Taylor. Very cool!"
"Negative","Don't Waste your money!: I was a fan of the first Kingdom Hearts Guide, but this on is completely lacking! it does not offer information to help you along in the game, it merely tells you what you already know!waste. of. money."
"Positive","Nice little grow light!: I got this in a timely manner and everything is in good condition. the light bulb is pretty thin only it seems to be fine to me! I am overall pleased with the purchase. The light fixture is pretty light weight and seems to be made of cheap materials which is why I am only giving only 4 stars. I would recommend the item to others based on the price. It was a lot cheaper than anything I could find else where."
"Positive","This is awesome!: I have tried multiple products over the years for cleaning up pet messes. This is by the far the best stuff I have every used!"
"Negative","Deeply disappointing: Not up to Adair's usual standard. I don't mind if a book in this genre has an unlikely plot, but it annoys me when it is full of holes. The heroine is pathetic and not very smart. The writing is not witty or suspenseful and I ended up flipping through the pages."
"Positive","Gorgeous tribute to a Kansas teacher and artist...: He would have wanted to be remembered most as a teacher and friend; he was that and more to those that were fortunate enough to have known him. Such was the life of the great Swedish artist Birger Sandzen.In a glowing tribute to the man and his work, Emory Lindquist has managed to capture the essence of who he was and what he has meant to Kansas art. An absolutely beautiful account of his art and influence. Sandzen was a one of a kind visionary of the beauty that surrounds us in everyday life and nature. A first rate work by a learned historian, and obvious devotee, of Sandzen."
"Positive","Great buy - great service: Usually stuff from the States takes forever to get here, this time it went fine. Great CD. Seller = great service and lots of good products."
"Negative","very light in content: The book is very light in content and written with a very narrow approach. If you want to learn anything about real estate don't buy this book."
"Negative","Wrong battery: Although the description was correct, the battery was not the right one for my IBM 600X. The polarity is reversed at the connector, compared to the original battery."
"Negative","VTech is a no-go: As another reviewer said, the volume is insufficient, even when turned up to maximum. With the slightest background noise, you will not hear the other party. Would try a Toshiba, but reviewers have had battery problems."
"Positive","Different from any other horror film currently out there.: In the same vein as SAW and SAW2. Disturbing ,violent stuff! Paxton (Jay Hernandez) is a total hottie!! Can't wait to see more of him."
"Positive","Perfect!!!: This is the fourth film in the series and begins with an attack on the Castle of Frankenstein, which is is usually seen at the end. Upon it's release from it's tomb, the Monster(Chaney)is taken by Ygor(Lugosi)to the second son of Frankenstein, Ludwig. There, the Monster's criminal brain is removed and just wait and see whose brain is put in! Exciting from the start, The Ghost of Frankenstein is a real classic to enjoy!"
"Negative","Waste of money and effort: Nothing but trouble with horrible picture quality when it does manage to function correctly. Don't waste your time or money on this product."
"Positive","Amazing: If you are in high school, or if you're trying to rekindle your high school days, this is the book to bring all of those memories flooding back."
"Positive","A good sequel to ""Star Trek IV"": Well written story, but drags at times with unnecessary banter and talk. I've read a few of Margaret's stories, but have trouble getting through them due to the extensive content she puts in them.I remember in 1991 when this book was first supposed to hit the book stores. It took forever and that's when I later heard about the problems Margaret was having in her original story. Also, the rumor was that this story was going to contradict the events in ""Star Trek VI"" so it had to be postponed. I don't see why Paramount can't just get together with the authors first and come to a conclusion or agreement.I loved the comment one reader made. I also think they should release an original story version of what it was really going to be about."
"Negative","Excellently Written Book About Nothing at All: The Sportswriter is neither about sports nor writing. It is about one excruciatingly boring week in the mundane life of a mundane divorced man. There is no real story. There is no beginning, no end, and no real climax. We just follow the life of the guy as he moves through his life for a week.The journey is genuine, and Richard Ford very accurately relates the dialog, feelings and experiences that such a man would have during such a week. The problem is that his life is just really, really boring.The main character, Frank Bascombe, is reflective and introspective during this week and while his thoughts seem genuine, they are neither inciteful or interesting.I enjoyed the writing style and it was done so well it might have been a real life journal. Just a very boring one.I can only recommend this book to voracious readers who don't mind spending hours reading without expecting much entertainment value."
"Negative","Contrived: This CD is NOT country music. It is slick, contrived, manufactured, pop marketed to those people who THINK they like country music but don't. That it has been so hugely successful is one of the saddest commentaries on our culture here at the end of the 20th century."
"Positive","Pure Consciousness!: If you are looking for the standard Blue Note Horace Silver (acoustic, quintet/sextet, w little or no vocals) this is not one the to get for that. This is music for those on the path to higher heights. If you want to jam to some truly inspirational music, this is a gem waiting for you to discover it. If you can grasp the wisdom of the law of cause and effect, eating healthy & working out, and just living life at a higher frequency, I promise you that you will be thankful that this CD became manifest in your world. Like probably anyone reading this review, I have a very large music library. If I were to have to start my collection all over, this would be one of the first CDs I would purchase. ""All is in mind!"""
"Negative","Disgusted: I was disgusted by the grotesque display of savagery in this novel. I found it lacking purpose and realism. All I found in this novel is one man's sick views of humanity. I do not reccomend this novel to anyone, especially children."
"Positive","Sensational book: When I read Chasing the Dime, it became one of my favorites. I am an avid reader of Michael's books, and to me, this is one of his best ever. I never expected the negative criticism that I see with this book.As a writer myself, I understand that everyone isn't going to like every book, but the amount of low reviews really shock me.John Foxjohnwww.johnfoxjohnhome.com"
"Positive","Shirley: Not just for kids. Excellent for someone in a wheelchair. Love this item! I do not have children in the house, so if you want it for a kid's room consider that the base, while sturdy is not weighted, so must keep pegs on each side balanced when hanging heavier items like coats, so it won't tip."
"Positive","bump under toe hurts at first: These look comfy and in a way they are. Good arch support. My problem was th e bump under the toes, the right foot hurt me for a week or so and still bothers me a bit. I live in NYC and walking in flips flops/sandals is wearing on your ankles and feet. Not to mention getting home and seeing how DIRTY your heals are. EEEK! The birkis eliminate that which i love."
"Positive","Does just enough...: I wanted a monitor that would tell me how many calories I was burning during my Zumba class. I also wear it on the treadmill or at the gym to get a more accurate calorie count than what the machines say (my monitor shows I burn more.) The price is right and it's easy to use."
"Positive","hp printer ink: The cartridges were the typical excellent quality products from HP. I was very pleased with them. I've tried using substitute cartridges. They never seem to work or last as long as good HP products."
"Positive","A Musiical Treasure: Versatile and impressive are just two adjectives that appropriately describe the music of Linda Ronstadt. This package, The Best Of Linda Ronstadt: The Capital Years, is simply outstanding. I discovered her music as I was growing up in the mid 70's. This probably explains why I had never heard several of the songs on this C.D. I cannot think of another artist in modern music who can compete with Ronstadt in singing a ""hard-core"" country song and also equally and impressively singing ""Big Band"" or ""Mexican styled"" music. A sad reality is that today's music executives would not permit Linda Ronstadt be who she really is - a versatile and impressive artist. Simply put, if you are a Linda Ronstadt fan, you will enjoy this collection of her early music!"
"Positive","FACSINATING READ! I WILL READ IT AGAIN!: I WAS BLOWN AWAY BY THE STORY AND THE THINGS IT GOT ME TO THINK ABOUT. ANNE RICE AMAZES ME WITH HER IMAGINATION WHERE SHE TAKES US WHEN WE OPEN THE BOOK. LESTAT AND ALL HIS ADVENTURES I HOPE GO ON AND ON. I LOVED THE BOOK!!!!!!!!!!"
"Positive","probably the 3rd best: This is probably manson's 3rd best album. Worth it for the most part, although some of the songs just make you want to jam something sharp into your ears repeatedly (mister superstar, Man that you fear) The other tracks (especially beautiful people, irresponsible hate anthem, the reflecting god, and wormboy) more than make up for this. While it is my opinion that GAOG and Holy Wood are better, this is tied with mechanical animals for 3rd. At least it isn't smells like children. So, in summary, great, but not the greatest."
"Positive","I read a book about Jim. It was pretty good.: A few years ago I read one of Jim's Journals. I was in high school, and none of my friends had heard of him. Last year in college, I realized one of my friend's loved Jim. So, when I heard about Treasury, I bought it the first chance I got. The amazing thing about Jim is that he's average. You read through the book and realize life isn't one big joke. It can be boring, and boring can be good. The spice of life is really all the little things that make each day different from the next. It's that your cat woke you up this morining by sitting on your stomach, or that you walked down to the ice cream store only for the scoop to fall off the cone. The ""anti-humor,"" as Dikkers likes to call it, isn't for everyone. In my opinion, in order to ""get"" Jim's Journal, you need to realize that sometimes a joke is funny because the punchline isn't funny at all, or that the funny part of the joke doesn't have to be the punchline, but rather can be the joke."
"Negative","I have never seen this many grammar errors in one book.: I love S&M. Unfortunately, the grammar errors in this book make it almost impossible to read. The continued mistakes, like the use of the word ""then"" every time the author means ""than,"" are extremely distracting. I often had to read sentences more than once to figure out what the author was trying to say. Ms. Antoniou needs an editor."
"Positive","Give this item a try: This product works. It relieves that untouchable, unrelenting pain in the base of my skull that massage and chiropractic hadn't been able to do. After 25 years of chronic neck and shoulder pain, I can move my neck through full range of motion and turn my head without pain. It is simple to use and relaxing after the first 30 seconds or so. It really is a 5 minute fix for me. You have nothing to lose- give it a try."
"Negative","All around: Golf Digest is the quintessential all around golf magazine. They write about lessons, travel, equipment and golf news. They seem to be a little biased recently with the acquisition of many of today's top golf stars, by not writing anything negative about them or their sponsors, i.e. Tiger and Nike. They are usually right on with their reviews of places to play and I enjoy how they pick one location and focus on it. I.e. Cape Cod, the courses that you can play and other activities that are around the vicinity. I wish they would choose some more exotic locales such as South Africa, New Zealand, Australia and South America though."
"Positive","Excellent resource - very user friendly: Can any of us ever agree with 100% of the opinions and recommendations of another professional? No, it just doesn't happen. However, we can appreciate well written and organized reports with detailed recommendations that make implementation a breeze for the reader (be they parent, teacher, therapist, etc.). This CD can significantly add to your library of precise and detailed recommendations. It works well with WORD and other word processors, is searchable, and transferred without a hitch. Will it make you competent in areas you weren't competent in before you got it? No, again. But it will improve your options and offer you new material to consider incorporating. Give it a try, I doubt you'll be disappointed."
"Positive","TEDWHICH: Nice clock- Just a little bigger than I thought from description but really reminicent of the old clocks my parents and Grandparents had.. Wonderful to have a working ""clockwork"" device that still works when power is off and bateries just die on my other devices.. Value OK - if just a liitle expensive when you calculate in the shipping involved..But then I could not buy the equivelent locally!"
"Negative","Outdated: I bought this book because I had read an awesome tale by the same author. Although the volume is interesting by itself (reproducing the original two-column format, with original illustrations), the stories themselves are quite boring and outdated."
"Negative","BEWARE: I THOUGHT THIS WAS FOR THE DISHWASHER!!!!!!!!!!!!!!!!!!!!!!!!! WHAT A MESS..NOW I AM STUCK WITH ALL THISSOAP###################NOT FOR DISHWASHER!!!!!!!!!!!!!!!!!!!"
"Positive","True story of 1st stages of struggle to free Soviet Jews.: His history and outline of the JDL ideology should be read by every Jew--whether or he or her agrees with Kahane.Read especially what he says about Jabotinsky."
"Positive","Great book: Very easy reading. Clear, and surprsingly thorough. i got it as a gift from a friend, and wos, it was a great gift! extremely funny, and entertaining, so it made it easy and fun to get all the info needed to be a NEW parent. highly recommended!"
"Positive","Something wonderful: Mary is a truly inspiring singer. Her voice floats so easy over the dreamy, Lauryn Hill-penned track ""All that I Can Say."" Guts with emotion on ""The Beautiful Ones"" & spirals through ""Deep Inside."" The strong opening of the album, however, does not make up for the weak finale which includes a washed-up ""I Will Survive""-esque closer. But the song ""Time"" (which deals with late 90s anxiety) is worth the price of the CD alone."
"Positive","Great memories, some question marks....: For the most part, this is an incredible collection of songs that I haven't heard in a really long time. While I honestly cannot remember some of the songs ever being worthy of the title ""hard to find,"" most of the CD did bring back some good memories of good friends, and times when we could actually understand the lyrics of the songs that were popular at the time."
"Positive","I love 'em! I love 'em! I love 'em!!!: I love these aluminum tumblers!! There are almost identical to the ones that Mom had when we were growing up! They still keep everything cold, especially milk.....We highly recommend them!"
"Negative","Does NOT split, It MIRRORS.: Just to clarify this does not actually split your video as in creating a dual or extended monitor. If you are trying to use two monitors and want to be able to display two different images on them then this is the wrong product. I tried this on my PC and even if it did do the job of splitting the video the resolution was awful. I'm going to try the SEE2 USB 2.0 To VGA Ext Video."
"Negative","Not enough practical business travel information: As a frequent visitor to the Silicon Valley area, I find difficulty with the fact that there are still no books directed towards business travelers. This area is NOT a tourist spot, so I found this book, while historically interesting, not particularly helpful for my requirements. Practical advice like, ""good luck finding a room during the week"" was not included."
"Negative","All Library Science, NO Information Science: If your looking for information on how and where to obtain a job in a library, this is a good book. Other than that, the book fails to give you examples on how far a degree in Library and Information Science can take you in the business world. If your not really interested in being a librarian, my advise would be to pick up another book that gives you more options. Or, go back to school and get another type of degree. Your choice."
"Positive","Sounding like a long intro to a Pink Floyd album: Tangerine DreamTangram(Caroline - 1980)By 1980 TD was back into the ambient mode and this one, although good, sounds like a long intro to a Pink Floyd album instead of something exciting and original from these Electronic Music pioneers. However, this is still a solid Four Star album."
"Positive","nice album: nice anniversary album, sure do miss mike's youngers days! huge fan of his though, if you're a fan then you'll prob wanna pick this up but for most of us, we already have the original recording lol! go pick this up if you want, it's still nice to listen to."
"Negative","What a waste: This is the biggest waste of time and money not only mine, but that used to make it. I would say it was a waste of talent, but apparently none was used in the making of this piece of garbage (and thats being kind) this story is weak and incomplete the acting worse then second rate. If I was suppose to care for these characters I never did 20 min. in I wished they'ld jump off a cliff and end the agony (mine) and it never got any better. To erase this movie from exsistance would only improve the world of queer cinema. Don't fall for the hype."
"Negative","So many lies so little time: Even if you hate Bush, the Iraq war and any conservative ideas, this movie is still crap. I spent the my money at the theater so I could at least talk about it. Goebbels would be proud of Moore and his ""movie"" and that is the best thing I can think to say about it."
"Positive","Three Girls who can kick your ...: This game is alot better than I expected it to be, I bought it for my little sister and I end up playing it just as much as she does, If you get this game, it wouldn't hurt to invest in a Memory Card because there are characters to unlock such as MOJO JOJO, FUZZY LUMPKINS AND HIM."
"Positive","making my granddaughter happy: my grand dauther was so happy to have these skates.she can grow with them.i am happy i made the purchase"
"Negative","The Last King: A bit of information to add to J. Bowring's most helpful review:Amazon.co.uk sells both this cut-down A&E; version of the series and the full four-hour BBC version. HOWEVER if you search on ""The Last King"" you will find only the A&E; title you see here. Why? Because the BBC release is titled simply ""Charles II."" Film distributors learned the hard way that when American audiences see a number after a title they assume it is a sequel! So British releases like this or ""Edward VII"" and ""Madness of George III"" are retitled for American release."
"Positive","No need for expensive cables: Not much to say that hasn't already been said. These cables are cheap and they work great. I'd buy again. Highly recommended."
"Positive","doesn't have an ending: I enjoyed this, but it ended abruptly, and did not have an ending. The last DVD ended with drama, with everything up in the air, and amiss. Kind of a bummer."
"Negative","the lining peeled!: i ordered two of these bottles from amazon and and within a month, i noticed the lining on the neck of the bottle started peeling. so i contacted zigg and sent them back for a replacement. it's been a month, and i haven't gotten my replacement. i would recommend the camelbak bottles instead. you don't have to worry about a liner."
"Positive","If you're a law student, you must read this.: This book blows me away. I've finished two years of law school, and PLS has helped me immensely. I've read many law school books, and always come back to this one. (I gave the others away, and have read PLS probably at least 5 times. I will not give this one away.) It has stuff for every phase of preparing to be a lawyer, from high school courses to college on to several chapters on getting a law job. I recommend it to every law student. I also recommend it to every college student even thinking about law school."
"Positive","Apple Tree Christmas a beautiful tale for all seasons: In Apple Tree Christmas, Trinka Hakes Noble gives us a glimpse into her own childhood, although the setting is a Midwestern farm in 1881. Katrina is a budding artist, whose favorite ""studio"" is the old apple tree. Here she gets her best ideas and dreams of the future. After a blizzard/ice storm, the apple tree is no longer standing. Katrina can't believe that Father and Mother are happy to use its old branches for firewood. Nothing seems right anymore, and even Christmas doesn't feel happy. But Christmas morning brings a surprise for our young artist. Mrs. Noble's illustrations are lovely, filled with much detail of life before the turn of the century -- life without all of our modern conveniences. Be sure to add this book to your collection!"
"Negative","ha ha ha ?: ""Where are the laughs?"" one might ask when watching this movie. You will find about 2 genuine laughs and a chuckle here and there. The story went nowhere although it started with lots of potential to be a riot. If you have seen the commercials and previews for this movie, well, lets just say you have already seen the good parts."
"Negative","What a waste of my time: I'm wondering if the people and pubs who wrote those rave reviews of Lent's ""In the Fall"" read the same book I did. I kept reading in the hope that it might get better. It didn't. And the big ""secret"" that supposedly doomed this family was so lame it was criminal. Don't waste your time."
"Negative","complete waste of money: i purchased this item last month because of the extreme heat that i face in my little room. It looked good on the add and small and adjustable, exactly what i was looking for. But unfortunately,it doesn't serve its purpose. Its just like a fan, actually slower than a fan on its high speed. does not cool off my room at all, even though my room is extremely small. i would sleep few inches of it and still dont feel the air. This is the worst experience i ever had with electronics. Also, the water tank came out broken, it would leak water all the time doesnt matter how much water i put on it or how nicely i fix the wash cloth. I couldnt even return it back because i bought it for 40$ + 30$ shipping. i didnt want to pay another 30$ and get nothing out of it. Its a complete waste of money. Dont buy it."
"Negative","Warning do not buy this game!!: If you have a router and plan on running your own server so you and your friends can go head to head like the old 99 Ut , think agian. Even if you know how to port forward, epic programed the game to throw its hands up in the air and say, oh no Nat on a router who would ever do such a thing. Disabling it doesnt work, countless hours google-ing. Nothing , absolute trash. I am thinking of demanding my money back from best buy... Thanks epic, you really let the Ut fans down.$50.00 bucks less for me, and a $50 dollar rip off in your wallet."
"Negative","J-U-N-K!!!: What a disappointment! What a waste of money! Do not buy this toy, nothing about it worked, we spent an hour trying to get it running (putting it together, mixing indredients, waiting for something to happen)to no avail! The directions were complicated, the mixer was messy and leaky, and the motorcycle did not run, even after a number of battery changes. We are returning this worthless piece of plastic junk. Buyer beware!"
"Positive","The other brother Har. Pre. # 533: Kathryn Randle was engaged to Rex Kingersby, Kathryn worked for the Kingersby's, so she took some time off from work with her bosses blessings to drop some of her things off at Rex's flat. Kathryn found him in bed with his secertary Maxine Vernon, and Maxine explained it wasn't the first time, but Rex assured her Maxine meant nothing to him.Kathryn has a thing about faithfulness, and she gave Rex back his ring.Rex was in an accident soon after that, and his older bother Nate came to have Kathryn's head on a slab.Nate and the rest of the Kingersby blamed Kathryn for Rex's accident, all except her immediate boss George.The Kingersby's stared to close ranks against Kathryn, but she hung in there, until the truth came out.I also like Susan Fox, Rebecca Winters, Essie Summers, Betty Neels, Diana Palmer and Eva Rutland."
"Positive","Entertaining comedy for Bujold fans: Bujold's Vorkosigan series is one of the best things going in science fiction. This entry is lighter, less serious, and somewhat less exciting than others. While not reaching the heights achieved by classics such as The Warriors Apprentice and Vor Game, this book still entertains. While at times the book strains to achieve a consistent tone, it is filled with humor, well-drawn characters, and Bujold's trademark epigrams.If you haven't read the other Vorkosigan books, I wouldn't recommend starting here. If your not sure whether you'll like this book, the publishers web site has 10 chapters online..."
"Positive","Family Game Pack: Good for a few games, but there are many I have never heard of and there is little instruction to help you learn. I bought it looking for a cribbage game. The cribbage progran is OK as is the Backgammon. The rest are a waste..."
"Negative","Cheap: This mouse broke after 1 year. It just stopped working completely. No explanation. Otherwise, I felt like the wireless signal was too weak."
"Negative","Workbook/Lab Manual Vol. 1 to accompany Que tal?: Very skimpy little pre-released manual of actual Workbook. Don't buy this unless you think you want to save money when in fact you'll lose money if you don't buy the real workbook."
"Negative","Anne McCaffrey is not here.: Annie's name may be on the cover, but she is not in this book. The torch was passed to Todd and it has gone out. Unfortunatly for Todd, writing talent is not an inherited trait - he does not come close to his mother's talent and I get the sense that Anne has very little input in these new novels. I've continued to read each new one hoping, hoping... My only hope is that Anne will return (if her health allows) to writing her novels alone."
"Positive","Excellent product and low price!: I just got this product and I love it. The curved plates helps curl my ends under but not much it is just right. I had bought a straightener recently for $150.00 and it did not work that great for the money so I returned it. This one was so much cheaper and works like a charm. Great buy!!"
"Positive","This recording is one of the best ever!: I own this masterpiece for about 20 years and everytime I'm listening to it, it has the same unbelievable intensity.To give you an idea of what a great part of the spirit of this recording is about: I like the guitar playing of Satriani, Steve Vai, Buck Dharma, Van Halen, Hendrix, Jimmy Page, Billy Gibbons, Barney Kessel, Eric Clapton, Frank Marino, Steve Howe, Uli Jon Roth, Alex Lifeson, Yngwie Malmsteen, Brian Robertson, Gary Moore, Kirk Hammet, Neil Young, ..., but Micheal Schenker is my absolutely favourite guitarist! In my opinion no one has ever reached Schenkers ability for melody, rythm, timing, or just GOOD TASTE. Schenkers playing on Rock Bottom is worth 6 stars alone.So if you're into good rock music and if you like the sound of an electric (rock) guitar, believe me, you got to have this live-recording!"
"Negative","What Did She See? Nothing, apparently.: I could get more from watching an episode of Beverly Hills 90210 than reading this trite trash. In a free-form babble Ms. Rosenfeld with one swipe spills observations from her uninteresting past romantic life, and blends self indulgence, insecurity and narcissism together into a heroine that one can only assume is a melee of the author's own pathetic truths. Novelists like this give good women writers a bad name. If you're looking for interesting writing, witty observations and even a little depth, a sitcom script would be more enlightening. I'm even wasting my time writing this, but do it in the hopes I will save others from losing precious hours of their life. I hope this is her first and last book."
"Negative","Waste of Money: Waste of money not 320. It sounds muffled in a system, buyers beware.I do not recommend. Should have to advertise bit rate."
"Positive","A Masterpiece: I just finished reading my purchased copy of this book and found it to be the greatest work ever produced on the Motorama Show Cars of General Motors. It is a perfect match of text and pictures (most of which have never been published before)to tell the story of this exciting time in automotive history that probably will never be equaled again by mankind. What a feast for the car lovers of this world and what a triumph for the literary medium! Charles D. Barnette"
"Positive","the jugglers rule: Such a great band! Sux that they broke up! Some really great songs on here....you'd be a fool not to get this album!"
"Positive","They should hav had more stuff!: the dvd's sound really great and i give it a 4/5 rating with all the extra stuff in it but it could have been a 5! they should have put those 3 video clips that started all this ! i wanted to see ""American History"", ""Jesus vs. Frosty"", and ""The Spirit of Christmas"" on thoses dvd's! maybe theres still time to cram these video clips in the dvd's!"
"Positive","Destination Unknown: Destination Unknown by Mest, is such a great CD, their songs are songs that people can relate to, and the catchyness of the songs will stick in your head. This Cd is by far the best cd i've heard yet."
"Positive","An amazing 'period' piece.: The concept is simple and extremely well executed.Several cultural elements are brought out well; violence in our society, naivety about power structures and a sadly typical view of how psycho-active drugs are always a good thing.The interaction between Kropotkin and our hero was something that might well have made Kropotkin proud.Enjoy."
"Positive","Good read: This was a good read - my husband recommended it to me because he knows I like the dystopian romantic futuristic books. It was a little weird at first, but I got really into it and finished the book within a week or two. I would definitely recommend this to anyone who's into dystopian romance. The romantic part of this is nothing crazy - just a high school kid crush really."
"Positive","Interesting take on interstellar civilization: It was interesting to read a story about interstellar civilization addressed from the point of view of its affect of instantaneous travel on a planet's economy. It was interesting to see a man from a civilization based on doing a little real work as possible thrown into a civilization of Rational Christians where he is required to do physical labor. All civilizations seem to have all the nanomachines and AI that they want. The reader watches the protagonist grow in understanding of the strengths and failings of himself and the civilizations."
"Positive","charming little book illustrated by artist, Mary Gehr.: This book, published in 1951, is a story about a circus calliope. Although children today have never seen a traveling circus and need to be told what is a circus calliope, I have read it to groups of children (4 to 6 years old) who enjoyed it very much."
"Negative","Poor design: While the handle is easy to grip, it is weighted too heavily. When my toddler places it back in her bowl, it flips out of the bowl and flings food everywhere. I don't see how this flaw was not caught during product discovery and testing. As others say, it does have a wide mouth, so determine if that is good or bad for you. I like the depth of the bowl, I think flat spoons don't allow your toddler to scoop things onto the spoon. Overall, the food flinging aspect at this ridiculous price makes them a rip-off. Sill looking for a good toddler spoon."
"Negative","Eat Your Veggies: I am all for eating fruits and vegetables and this book has some great information. My only complaint was that the menus and weekly meal plans did not contain any food I would eat. Give up dairy? I need it for my osteoporis....I know I can get calcium from other foods...but got to have milk.I found the advice of the book to restrictive."
"Positive","Another great album: This is one of the latest albums to be put out by Bayside on Victory Records and it is once again a great one by the band. They have always put out great music, if you like Bayside also check out A Day To Remember also on Victory Records."
"Positive","This DVD rocks.: This movie is great. I bought the theatrical version of the dvd when it came out a while ago, but this one just blows it out of the water. This version adds a lot to the overall story and plot of the Two Towers(it has 40+ minutes of added story). Having read the book, I was slightly disappointed with the first release(it was still great), but this release includes quite a bit of stuff they left out. For those of you who haven't read the book, the added stuff should immensely help you understand what is going on.As for the extras, they are great. I have watched one disc of the extra's and still have one more to watch. These extra's are a lot of fun to watch because you get to see how they do the special effects(the one about gollum is very interesting), what they changed, and what the actors thought.Overall, this movie is a great buy. The new 40+ minutes is great and you will hardly notice that it is longer. Also, the extra's are great. This is a dvd you will want in your collection."
"Negative","Really wanted to like it but.....: I really wanted to like this but it was just not very interesting. Other reviewers have said it better than I could but the long and short of it is this book is boring.The thing that really sealed it for me was the phrase ""There was a collective gasp of astonishment."" I hate this phrase, and the auther used it several times thoughout the book, once just a couple of pages apart. When he used this phrase it wasn't even for anything that special even. Very lame usage indeed. Please don't buy this book spend your hard earned cash on something better. Get a Jack duBrul book, or a lee Child, or Douglas Preston/ Lincoln Child, anything but this. You will waste your time and money, and that sucks. I keep hoping that this author will improve but after reading all the reviews for his other books I doubt it."
"Negative","Stay away: Stay away from these guys ,30 days and still have not received my order. They never answer email. I have filed clam with Amazon waiting for answer.ONCE AGAIN STAY AWAY DON'T ORDER FROM THEM."
"Positive","Overrated and Still Gets Five Stars!: Not a CD to be worshipped but still has great songs (Stairway, Black Dog, Rock & Roll, 4 Sticks, etc). Overplayed by FM radio and familiarity breeds contempt, I suppose. Even Page & Plant are reluctant to play these songs now."
